window,segment,metric,n,fit,loglik,aic,bic,ks_pvalue,chosen,param_mu,param_sigma,param_log_mu,param_log_sigma,param_k,param_theta
szn,D,PPP,68,Normal,-168.6222134141556,341.2444268283112,345.6834422386634,0.4156873709700415,0,3.9382352941176473,2.8886807192173136,,,,
szn,D,PPP,68,LogNormal,-54.98979152976062,113.97958305952125,118.41859846987346,5.433447384892259e-13,1,,,-2.777710912079619,8.735942034402111,,
szn,D,PPP,68,Gamma,-379.87174846565927,763.7434969313185,768.1825123416708,0.011905706478688938,0,,,,,1.8586783260011754,2.1188364006921403
szn,D,PPP,68,Normal(log1p),-77.2992465303463,158.5984930606926,163.03750847104482,0.052517147028824374,0,1.3676399465260376,0.7541342263707047,,,,
szn,F,SOG,449,Normal,-1063.7461539211147,2131.4923078422294,2139.706353617714,0.32598208224825087,0,6.440400890868597,2.5862438594051818,,,,
szn,F,SOG,449,LogNormal,-1752.88514029118,3509.77028058236,3517.9843263578446,1.2825038560069578e-59,0,,,1.4480155381928488,2.8208034117797256,,
szn,F,SOG,449,Gamma,-1813.477808217231,3630.955616434462,3639.1696622099466,0.2245314825849094,0,,,,,6.201358774147162,1.0385467323280129
szn,F,SOG,449,Normal(log1p),-248.66743403837634,501.3348680767527,509.5489138522372,0.0003217009337211661,1,1.9332009492688058,0.42100376048356053,,,,
szn,D,SOG,245,Normal,-500.73737225093504,1005.4747445018701,1012.4772609229595,0.09758076078563149,0,3.8085714285714283,1.868035746719106,,,,
szn,D,SOG,245,LogNormal,-822.16171300331,1648.32342600662,1655.3259424277094,2.7462295422559e-37,0,,,0.6303257693447092,3.693216621008279,,
szn,D,SOG,245,Gamma,-929.880709969287,1863.761419938574,1870.7639363596634,0.7188656209599922,0,,,,,4.156749420398957,0.9162379165579964
szn,D,SOG,245,Normal(log1p),-145.07301646663373,294.14603293326746,301.14854935435693,0.11055672328878352,1,1.4859016826683584,0.4374452288960055,,,,
szn,F,FOW,449,Normal,-1722.737652031636,3449.475304063272,3457.6893498387562,7.898416690152909e-26,0,9.01053452115813,11.222196573224673,,,,
szn,F,FOW,449,LogNormal,24.38957454883416,-44.77914909766832,-36.565103322183816,2.729645693719212e-52,1,,,-3.7402515347179657,9.650340853864826,,
szn,F,FOW,449,Gamma,-605.6410554819377,1215.2821109638753,1223.4961567393598,2.3896971082103996e-23,0,,,,,0.6446817354072207,13.976717543745915
szn,F,FOW,449,Normal(log1p),-762.2225100720735,1528.445020144147,1536.6590659196315,6.456400211224447e-08,0,1.5137885800061723,1.3213602678582161,,,,
szn,D,FOW,245,Normal,4852.060189416727,-9700.120378833453,-9693.117862412364,3.660979064120689e-57,1,0.0,1e-09,,,,
szn,D,FOW,245,Normal(log1p),4852.060189416727,-9700.120378833453,-9693.117862412364,3.660979064120689e-57,0,0.0,1e-09,,,,
szn,F,HIT,449,Normal,-1415.4059689745343,2834.8119379490686,2843.025983724553,2.9729306645511474e-08,0,6.186636971046771,5.65993999626372,,,,
szn,F,HIT,449,LogNormal,-1604.6139521158786,3213.2279042317573,3221.4419500072418,6.7476531606785685e-34,0,,,0.9737869462323138,3.2577115511761,,
szn,F,HIT,449,Gamma,-1295.8081337335827,2595.6162674671655,2603.83031324265,0.7287708949073234,0,,,,,1.1947735815316256,5.178083167135258
szn,F,HIT,449,Normal(log1p),-522.546725679266,1049.093451358532,1057.3074971340166,0.44831194889124826,1,1.6837602358664485,0.7748100608607521,,,,
szn,D,HIT,245,Normal,-626.085718072313,1256.171436144626,1263.1739525657156,0.0009228872359197463,0,3.594,3.1158854868796024,,,,
szn,D,HIT,245,LogNormal,-668.7956105120671,1341.5912210241343,1348.5937374452237,1.5661510928973188e-33,0,,,-0.3823696163115761,5.436900215835124,,
szn,D,HIT,245,Gamma,-653.1969343385027,1310.3938686770055,1317.396385098095,0.23646938266758244,0,,,,,1.3304334910087507,2.701375171591848
szn,D,HIT,245,Normal(log1p),-244.00518109956204,492.0103621991241,499.01287862021354,0.6636118565693452,1,1.3177686182683157,0.6550792760635575,,,,
szn,F,BLK,449,Normal,-825.2269763997748,1654.4539527995496,1662.667998575034,0.0010297216592933083,0,2.244988864142539,1.5204152118276972,,,,
szn,F,BLK,449,LogNormal,-1133.9512189841337,2271.9024379682673,2280.116483743752,8.953503313722225e-66,0,,,-0.47318656258292596,4.85375124152617,,
szn,F,BLK,449,Gamma,-1297.0813031853263,2598.1626063706526,2606.376652146137,0.14823267811122354,0,,,,,2.1802383277181683,1.0296988341387387
szn,F,BLK,449,Normal(log1p),-299.86742981635507,603.7348596327101,611.9489054081946,0.4022585953019814,1,1.070107938551947,0.4718555671257468,,,,
szn,D,BLK,245,Normal,-536.7668137627425,1077.533627525485,1084.5361439465744,0.20968754876069595,0,4.445102040816327,2.1639741618746613,,,,
szn,D,BLK,245,LogNormal,-821.8012413480694,1647.6024826961388,1654.6049991172283,1.8614010745149932e-42,0,,,0.36564781741495145,4.805227704594151,,
szn,D,BLK,245,Gamma,-1307.3778322741216,2618.755664548243,2625.7581809693324,0.05037507270118946,0,,,,,4.21948384219081,1.053470568228874
szn,D,BLK,245,Normal(log1p),-174.96423903437932,353.92847806875864,360.9309944898481,0.0004053477803427302,1,1.595708531297039,0.4942080077770943,,,,
szn,F,PIM,449,Normal,-1210.7845166044945,2425.569033208989,2433.7830789844734,5.460620032267671e-29,0,2.219576837416481,3.588327531834552,,,,
szn,F,PIM,449,LogNormal,463.7428926271523,-923.4857852543046,-915.2717394788201,4.112232094620468e-69,1,,,-4.68462092487893,9.326384641234428,,
szn,F,PIM,449,Gamma,446.58851915320463,-889.1770383064093,-880.9629925309248,1.6584607348758648e-25,0,,,,,0.3826099092414603,5.801148334261788
szn,F,PIM,449,Normal(log1p),-478.0415469029977,960.0830938059954,968.2971395814799,7.931089144674018e-09,0,0.8773822545907597,0.701693887427481,,,,
szn,D,PIM,245,Normal,-577.0355675655072,1158.0711351310144,1165.073651552104,1.1456913854580486e-09,0,2.0852244897959182,2.5505491306719965,,,,
szn,D,PIM,245,LogNormal,114.68320043064614,-225.36640086129228,-218.3638844402028,7.201042102422051e-41,1,,,-4.071189830593109,8.883153357130043,,
szn,D,PIM,245,Gamma,-93.03702691771608,190.07405383543215,197.07657025652162,6.214163836172812e-11,0,,,,,0.6684027783843275,3.1197124809336683
szn,D,PIM,245,Normal(log1p),-250.208822563787,504.417645127574,511.4201615486635,0.0007794904111101347,0,0.88181556869365,0.6718783155243846,,,,
